customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,No,No,66,Yes,No,Fiber optic,No internet service,No internet service,Two year,No,Mailed check,85.4,3773.03,No
CUST-00001,Female,1,No,No,24,Yes,No,Fiber optic,Yes,No,One year,No,Electronic check,34.69,4883.91,No
CUST-00002,Male,0,No,No,60,Yes,No,Fiber optic,No internet service,No,Two year,Yes,Credit card,61.82,2979.54,No
CUST-00003,Male,0,Yes,No,25,Yes,No,DSL,No,No,Month-to-month,No,Bank transfer,93.03,2750.43,Yes
CUST-00004,Male,0,Yes,No,33,Yes,Yes,DSL,Yes,Yes,One year,Yes,Bank transfer,75.95,3247.23,No
CUST-00005,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No internet service,Yes,Month-to-month,No,Credit card,108.63,3613.57,Yes
CUST-00006,Male,0,Yes,Yes,39,Yes,No phone service,Fiber optic,No,Yes,Month-to-month,No,Credit card,62.38,2157.75,No
CUST-00007,Male,0,Yes,No,6,No,Yes,No,No,Yes,One year,No,Credit card,31.22,4032.63,No
CUST-00008,Male,0,Yes,No,29,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Mailed check,22.88,6623.34,No
CUST-00009,Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,No,One year,No,Mailed check,65.74,5314.9,No
CUST-00010,Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,Yes,Two year,No,Bank transfer,61.76,3239.16,No
CUST-00011,Male,0,Yes,No,67,Yes,No,No,Yes,Yes,Two year,Yes,Credit card,43.65,1342.85,No
CUST-00012,Male,0,No,No,57,No,No,DSL,No,No,Month-to-month,No,Electronic check,77.05,7007.53,Yes
CUST-00013,Male,0,No,Yes,54,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card,43.02,4355.12,Yes
CUST-00014,Female,0,Yes,No,13,No,No phone service,Fiber optic,No,Yes,One year,Yes,Electronic check,39.63,8256.06,No
CUST-00015,Male,0,Yes,No,36,Yes,No,No,No,No,Two year,Yes,Credit card,80.22,2161.34,No
CUST-00016,Female,0,Yes,Yes,43,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card,112.49,1506.7,No
CUST-00017,Female,0,No,Yes,5,Yes,No,DSL,Yes,No,Two year,Yes,Mailed check,38.28,85.92,No
CUST-00018,Female,1,Yes,No,25,No,No,Fiber optic,No,Yes,One year,Yes,Electronic check,36.28,718.81,No
CUST-00019,Male,0,No,No,13,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Credit card,69.94,3286.98,Yes
CUST-00020,Female,1,Yes,No,7,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Credit card,29.94,1699.48,Yes
CUST-00021,Male,0,Yes,No,23,Yes,Yes,DSL,No,No,Two year,No,Electronic check,47.41,339.33,No
CUST-00022,Female,0,Yes,Yes,38,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer,117.08,1929.57,Yes
CUST-00023,Female,1,Yes,No,48,Yes,No phone service,No,No internet service,Yes,Month-to-month,No,Bank transfer,102.1,6199.3,No
CUST-00024,Female,0,No,No,62,Yes,No,Fiber optic,No internet service,No,Two year,No,Electronic check,88.61,6258.16,No
CUST-00025,Female,0,No,No,25,Yes,Yes,DSL,No internet service,No internet service,Month-to-month,No,Credit card,20.6,1287.21,No
CUST-00026,Female,0,No,No,9,Yes,No,No,No internet service,Yes,Two year,Yes,Credit card,44.51,7961.3,No
CUST-00027,Female,0,No,Yes,57,Yes,Yes,Fiber optic,Yes,No,One year,Yes,Mailed check,74.97,1366.94,No
CUST-00028,Female,0,No,No,13,Yes,No,Fiber optic,Yes,No,One year,Yes,Credit card,89.03,775.79,No
CUST-00029,Female,0,No,Yes,70,Yes,No,DSL,Yes,Yes,Two year,No,Bank transfer,84.84,1400.04,No
CUST-00030,Male,0,Yes,Yes,38,Yes,No,DSL,No internet service,No,Two year,No,Bank transfer,36.55,1209.9,No
CUST-00031,Male,0,Yes,No,30,Yes,No,Fiber optic,No,No,Month-to-month,No,Credit card,64.63,5376.13,No
CUST-00032,Female,0,Yes,Yes,49,Yes,No,DSL,Yes,No,Two year,Yes,Bank transfer,37.85,1343.38,No
CUST-00033,Female,0,No,No,15,Yes,No,Fiber optic,No,No internet service,One year,Yes,Credit card,110.36,5398.37,No
CUST-00034,Female,0,Yes,Yes,71,Yes,No phone service,DSL,No,No,Month-to-month,No,Mailed check,73.74,2364.11,Yes
CUST-00035,Male,0,No,Yes,50,No,Yes,No,Yes,No,Two year,Yes,Credit card,57.03,2124.97,No
CUST-00036,Female,1,Yes,No,14,Yes,No,No,No,No,Month-to-month,No,Bank transfer,109.8,7628.49,No
CUST-00037,Male,0,No,Yes,37,Yes,No,DSL,Yes,No internet service,Two year,No,Bank transfer,108.4,1835.97,No
CUST-00038,Male,1,Yes,Yes,70,Yes,No,DSL,No internet service,No,One year,No,Electronic check,68.41,7351.41,No
CUST-00039,Male,0,Yes,No,71,Yes,No,Fiber optic,No,No,Month-to-month,No,Mailed check,86.68,2592.52,No
CUST-00040,Male,0,No,Yes,20,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Electronic check,49.88,8425.6,Yes
CUST-00041,Male,0,Yes,Yes,15,Yes,No,DSL,No internet service,No,Month-to-month,Yes,Credit card,48.77,8338.24,Yes
CUST-00042,Female,0,No,No,66,Yes,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Credit card,72.96,7037.8,Yes
CUST-00043,Female,0,Yes,Yes,64,Yes,No phone service,No,No,No internet service,Two year,No,Electronic check,102.66,7381.11,Yes
CUST-00044,Female,0,Yes,No,12,Yes,No,DSL,No,No internet service,Two year,Yes,Electronic check,77.72,7000.9,No
CUST-00045,Female,0,No,Yes,63,Yes,No,DSL,No internet service,No,One year,No,Electronic check,63.9,5358.65,No
CUST-00046,Female,1,No,Yes,60,Yes,No,Fiber optic,Yes,No internet service,Month-to-month,Yes,Electronic check,84.41,6880.13,Yes
CUST-00047,Male,0,Yes,No,31,Yes,No,No,No,No internet service,One year,Yes,Electronic check,99.23,5347.08,No
CUST-00048,Female,0,No,No,11,Yes,No,DSL,No internet service,No internet service,One year,Yes,Bank transfer,96.73,7161.25,No
CUST-00049,Female,0,No,Yes,40,Yes,No,Fiber optic,No internet service,Yes,Month-to-month,Yes,Mailed check,55.06,7953.36,No
